day,maxtemp
3/1/2016,37
3/2/2016,51
3/3/2016,24
3/4/2016,32
3/5/2016,30
3/6/2016,40
3/7/2016,54
3/8/2016,61
3/9/2016,78
3/10/2016,61
3/11/2016,45
3/12/2016,61
3/13/2016,53
3/14/2016,48
3/15/2016,51
3/16/2016,63
3/17/2016,60
3/18/2016,41
3/19/2016,35
3/20/2016,41
3/21/2016,40
3/22/2016,53
3/23/2016,49
3/24/2016,65
3/25/2016,59
3/26/2016,49
3/27/2016,64
3/28/2016,55
3/29/2016,41
3/30/2016,63
3/31/2016,69
